,tcompound,tdate,tneg,tneu,tpos,tsource,ttext
264,-0.5859,Sat Jul 21 20:06:43 +0000 2018,0.257,0.743,0.0,Fox News,'Blackish' star Anthony Anderson investigated by the LAPD for assault allegations https://t.co/uprzpRyWnK
265,0.5859,Sat Jul 21 20:06:32 +0000 2018,0.0,0.758,0.242,Fox News,United Airlines passenger claims flight attendants 'started making jokes' after she moved away from masturbating se… https://t.co/BNTf9bg4wy
266,0.4215,Sat Jul 21 20:05:42 +0000 2018,0.0,0.811,0.189,Fox News,Poll: 68% of Republicans approved of @POTUS's handling of summit with Putin. https://t.co/AGxy5vKmEU
267,0.6597,Sat Jul 21 19:56:08 +0000 2018,0.0,0.671,0.329,Fox News,Khloe Kardashian apologizes after calling sister Kourtney R-word: 'I will do better' https://t.co/LGQvWiKOdC
268,0.5106,Sat Jul 21 19:50:47 +0000 2018,0.063,0.769,0.167,Fox News,"Earlier today, @VP Mike Pence celebrated the “bonuses, pay raises, or bigger benefits” he says more than 6 million… https://t.co/UjrPquYLEv"
269,0.0,Sat Jul 21 19:40:53 +0000 2018,0.0,1.0,0.0,Fox News,'Buffy the Vampire Slayer' reboot to feature black female lead https://t.co/yXbV5Fpvov
270,-0.7351,Sat Jul 21 19:40:11 +0000 2018,0.508,0.492,0.0,Fox News,"Progressive Group MoveOn: 'Low Wages Are Violence'
https://t.co/QDqXjwzgLd"
271,-0.7096,Sat Jul 21 19:17:37 +0000 2018,0.351,0.585,0.064,Fox News,"Dem's campaign manager quits after video shows candidate secretly backing gun ban
https://t.co/XVhBcf2mGL"
272,-0.3612,Sat Jul 21 19:12:12 +0000 2018,0.161,0.839,0.0,Fox News,Former Navy SEAL Reacts to Partner's Vandalized Memorial: We Must 'Push Past' Mistakes https://t.co/YmXh79gZ8Y
273,-0.5423,Sat Jul 21 19:04:09 +0000 2018,0.304,0.696,0.0,Fox News,"Teen Harassed in Seattle for Wearing 'MAGA' Hat
https://t.co/zjXtsHnIvi"
274,0.368,Sat Jul 21 19:00:26 +0000 2018,0.143,0.57,0.287,Fox News,NEWS ALERT: Ceasefire agreed after Israel strikes Hamas targets in Gaza. https://t.co/y699aUY1NR https://t.co/LwcwbT2y4u
275,-0.5574,Sat Jul 21 18:55:06 +0000 2018,0.205,0.795,0.0,Fox News,"Non-citizens, illegal immigrants now may register to vote in San Francisco school board elections
https://t.co/IIgMGT74og"
276,0.0,Sat Jul 21 18:48:03 +0000 2018,0.0,1.0,0.0,Fox News,"Happening Now: ""Keep Families Together"" rally underway in Los Angeles. https://t.co/17GEl0Uyod"
277,-0.4019,Sat Jul 21 18:44:00 +0000 2018,0.278,0.722,0.0,Fox News,Illness linked to McDonald's salads spreads. https://t.co/oKkkTRn95z https://t.co/P6H5LSpAxn
278,-0.8625,Sat Jul 21 18:30:00 +0000 2018,0.407,0.593,0.0,Fox News,Mourners remember the 17 victims killed when duck boat capsized and sank in Missouri lake. https://t.co/dYXX4T4C49 https://t.co/3IRcNgKi7a
279,-0.128,Sat Jul 21 18:20:57 +0000 2018,0.111,0.889,0.0,Fox News,"Watchdog exposes $14.7B of pork-barrel spending, including 'brown tree snake eradication' project
https://t.co/GLi9HpgcTu"
280,-0.2263,Sat Jul 21 16:00:02 +0000 2018,0.174,0.71,0.116,The New York Times,Some cities are betting on driverless cars to solve public transit problems https://t.co/xGBwmy1Oq2
